Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Mercedes EQS 580 4MATIC	Battery Electric Vehicle |       107.8 kWh	4.3 sec	210 km/h	610 km	177 Wh/km	800 km/h	All Wheel Drive	5	EUR135.529	BGP115.000
Tesla Model 3 Standard Range Plus	Battery Electric Vehicle |       50 kWh 	5.6 sec	225 km/h	340 km	147 Wh/km	680 km/h	Rear Wheel Drive	5	EUR43.560	BGP40.990
Polestar 2 Standard Range Single Motor	Battery Electric Vehicle |       61 kWh 	7.4 sec	160 km/h	350 km	174 Wh/km	450 km/h	Front Wheel Drive	5	EUR46.500	BGP39.900
Polestar 2 Long Range Single Motor	Battery Electric Vehicle |       75 kWh 	7.4 sec	160 km/h	425 km	176 Wh/km	550 km/h	Front Wheel Drive	5	EUR49.500	BGP42.900
Polestar 2 Long Range Dual Motor	Battery Electric Vehicle |       75 kWh 	4.7 sec	205 km/h	395 km	190 Wh/km	510 km/h	All Wheel Drive	5	EUR52.500	BGP45.900
Volkswagen ID.4 Pure	Battery Electric Vehicle |       52 kWh	10.9 sec	160 km/h	285 km	182 Wh/km	410 km/h	Rear Wheel Drive	5	EUR36.950	BGP32.150
Audi Q4 e-tron 40	Battery Electric Vehicle |       76.6 kWh	8.5 sec	160 km/h	405 km	189 Wh/km	500 km/h	Rear Wheel Drive	5	EUR47.500	BGP44.990
Audi Q4 e-tron 50 quattro	Battery Electric Vehicle |       76.6 kWh	6.2 sec	180 km/h	385 km	199 Wh/km	470 km/h	All Wheel Drive	5	EUR53.600	BGP51.370
Audi Q4 Sportback e-tron 50 quattro	Battery Electric Vehicle |       76.6 kWh	6.2 sec	180 km/h	400 km	192 Wh/km	490 km/h	All Wheel Drive	5	EUR55.600	BGP52.870
Mercedes EQB 350 4MATIC	Battery Electric Vehicle |       66.5 kWh	6.5 sec	160 km/h	340 km	196 Wh/km	400 km/h	All Wheel Drive	7	EUR60.000	BGP50.000
Volkswagen ID.4 GTX	Battery Electric Vehicle |       77 kWh	6.2 sec	180 km/h	400 km	193 Wh/km	490 km/h	All Wheel Drive	5	EUR50.415	BGP55.540
Mercedes EQA 300 4MATIC	Battery Electric Vehicle |       66.5 kWh	7.7 sec	160 km/h	350 km	190 Wh/km	420 km/h	All Wheel Drive	5	EUR53.538	N/A
Mercedes EQA 350 4MATIC	Battery Electric Vehicle |       66.5 kWh	6.0 sec	160 km/h	350 km	190 Wh/km	420 km/h	All Wheel Drive	5	EUR56.216	N/A
Toyota PROACE Verso M 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	185 km	243 Wh/km	250 km/h	Front Wheel Drive	7	EUR58.530	N/A
Toyota PROACE Verso L 50 kWh	Battery Electric Vehicle |       45 kWh 	12.1 sec	130 km/h	180 km	250 Wh/km	240 km/h	Front Wheel Drive	7	EUR59.385	N/A
Toyota PROACE Verso M 75 kWh	Battery Electric Vehicle |       68 kWh 	13.1 sec	130 km/h	270 km	252 Wh/km	290 km/h	Front Wheel Drive	7	EUR64.530	N/A
Toyota PROACE Verso L 75 kWh	Battery Electric Vehicle |       68 kWh 	13.1 sec	130 km/h	270 km	252 Wh/km	290 km/h	Front Wheel Drive	7	EUR65.385	N/A
CUPRA Born 150 kW - 62 kWh	Battery Electric Vehicle |       58 kWh	7.3 sec	160 km/h	350 km	166 Wh/km	440 km/h	Rear Wheel Drive	5	EUR36.770	BGP30.500
CUPRA Born 170 kW - 62 kWh	Battery Electric Vehicle |       58 kWh	6.6 sec	160 km/h	345 km	168 Wh/km	430 km/h	Rear Wheel Drive	5	EUR39.000	BGP31.500
CUPRA Born 170 kW - 82 kWh	Battery Electric Vehicle |       77 kWh	7.0 sec	160 km/h	450 km	171 Wh/km	550 km/h	Rear Wheel Drive	5	EUR43.000	BGP42.000
BMW i4 M50	Battery Electric Vehicle |       80.7 kWh	3.9 sec	225 km/h	450 km	179 Wh/km	630 km/h	All Wheel Drive	5	EUR69.900	BGP63.905
Volvo XC40 Recharge Twin Pure Electric	Battery Electric Vehicle |       75 kWh	4.9 sec	180 km/h	340 km	221 Wh/km	440 km/h	All Wheel Drive	5	EUR59.250	BGP49.950
Renault Megane E-Tech Electric	Battery Electric Vehicle |       60 kWh 	8.0 sec	160 km/h	335 km	179 Wh/km	480 km/h	Front Wheel Drive	5	EUR38.000	BGP32.500
Peugeot e-Rifter Standard 50 kWh	Battery Electric Vehicle |       45 kWh 	11.7 sec	135 km/h	200 km	225 Wh/km	270 km/h	Front Wheel Drive	7	EUR37.590	BGP30.375
Peugeot e-Rifter Long 50 kWh	Battery Electric Vehicle |       45 kWh 	11.7 sec	135 km/h	195 km	231 Wh/km	260 km/h	Front Wheel Drive	7	EUR42.590	BGP32.455
MG Marvel R 	Battery Electric Vehicle |       65 kWh 	7.9 sec	200 km/h	340 km	191 Wh/km	390 km/h	Rear Wheel Drive	5	EUR40.000	N/A
Tesla Model 3 Long Range Dual Motor	Battery Electric Vehicle |       76 kWh 	4.4 sec	233 km/h	490 km	155 Wh/km	820 km/h	All Wheel Drive	5	EUR53.560	N/A
MG MG5 EV Long Range	Battery Electric Vehicle |       57 kWh 	7.7 sec	185 km/h	340 km	168 Wh/km	340 km/h	Front Wheel Drive	5	N/A	BGP26.495
Audi Q4 e-tron 45 quattro	Battery Electric Vehicle |       76.6 kWh	6.9 sec	180 km/h	385 km	199 Wh/km	470 km/h	All Wheel Drive	5	EUR50.900	N/A
Audi Q4 Sportback e-tron 40	Battery Electric Vehicle |       76.6 kWh	8.5 sec	160 km/h	425 km	180 Wh/km	520 km/h	Rear Wheel Drive	5	EUR49.500	N/A
