Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Renault Zoe ZE40 R110	Battery Electric Vehicle |       41 kWh	11.4 sec	135 km/h	255 km	161 Wh/km	230 km/h	Front Wheel Drive	5	EUR29.990	N/A
Porsche Taycan 4S	Battery Electric Vehicle |       71 kWh	4.0 sec	250 km/h	375 km	189 Wh/km	750 km/h	All Wheel Drive	4	EUR106.487	BGP83.580
Porsche Taycan 4S Plus	Battery Electric Vehicle |       83.7 kWh	4.0 sec	250 km/h	435 km	192 Wh/km	910 km/h	All Wheel Drive	4	EUR113.008	BGP88.193
Hyundai Kona Electric 39 kWh	Battery Electric Vehicle |       39.2 kWh	9.9 sec	155 km/h	250 km	157 Wh/km	210 km/h	Front Wheel Drive	5	EUR34.850	N/A
Mercedes EQV 300 Long	Battery Electric Vehicle |       90 kWh	12.1 sec	160 km/h	320 km	281 Wh/km	280 km/h	Front Wheel Drive	7	EUR71.388	BGP70.665
Mazda MX-30 	Battery Electric Vehicle |       30 kWh 	9.7 sec	140 km/h	170 km	176 Wh/km	180 km/h	Front Wheel Drive	5	EUR34.490	BGP26.045
Ford Mustang Mach-E SR RWD	Battery Electric Vehicle |       68 kWh	6.9 sec	180 km/h	345 km	197 Wh/km	380 km/h	Rear Wheel Drive	5	EUR46.900	BGP41.330
Ford Mustang Mach-E ER RWD	Battery Electric Vehicle |       88 kWh	7.0 sec	180 km/h	440 km	200 Wh/km	430 km/h	Rear Wheel Drive	5	EUR54.475	BGP49.980
Ford Mustang Mach-E SR AWD	Battery Electric Vehicle |       68 kWh	6.3 sec	180 km/h	330 km	206 Wh/km	360 km/h	All Wheel Drive	5	EUR54.000	BGP46.650
Ford Mustang Mach-E ER AWD	Battery Electric Vehicle |       88 kWh	5.8 sec	180 km/h	420 km	210 Wh/km	410 km/h	All Wheel Drive	5	EUR62.900	BGP57.030
Ford Mustang Mach-E GT	Battery Electric Vehicle |       88 kWh	4.4 sec	200 km/h	410 km	215 Wh/km	400 km/h	All Wheel Drive	5	N/A	BGP67.225
Audi e-tron Sportback 50 quattro	Battery Electric Vehicle |       64.7 kWh	6.8 sec	190 km/h	295 km	219 Wh/km	490 km/h	All Wheel Drive	5	EUR71.350	BGP69.100
Tesla Cybertruck Single Motor	Battery Electric Vehicle |       100 kWh 	7.0 sec	180 km/h	390 km	256 Wh/km	740 km/h	Rear Wheel Drive	7	EUR45.000	BGP39.000
Tesla Cybertruck Dual Motor	Battery Electric Vehicle |       120 kWh 	5.0 sec	190 km/h	460 km	261 Wh/km	710 km/h	All Wheel Drive	7	EUR55.000	BGP48.000
